captionText,postUrl,username
mimpi makan burger SD yang dibungkus pake kertas abu2 dan isinya daging selembar itu lohhh aduh bm,https://www.threads.com/@maudyeffrosina/post/DdRAdMKo0o-,maudyeffrosina
"Ini yang lagi heboh itu katanya tone deaf itu bukan!?....owh itu maudy ayunda,maaf mungkin karena belum sarapan,yuuk!👇😋",https://www.threads.com/@pras23851/post/DdSRSYoExvy,pras23851
"basic human needs :
1. oxygen 
2. water
3. ganti presiden",https://www.threads.com/@brisha.dln/post/DdQbuMIE4ck,brisha.dln
cancel culture maudy ayunda,https://www.threads.com/@diodenot/post/DdSRKU5AZw1,diodenot
"baru tahu kalau ada ilmu kepekaan sosial😅 maaf saya manusia old, jd g update makul pendidikan sekarang🙏",https://www.threads.com/@nadhifah_s.p/post/DdRxqknAUZz,nadhifah_s.p
"Sebenernya dari aku SMA (karena aku masuk IPS) ini udah ada di pelajaran Sosiologi kak, ilmu kepekaan sosial itu emg ada. Tapi ya itu, kalau dalam prakteknya, masih banyak yg kesulitan untuk menerapkan kepekaan sosial. Dan org dengan kepintaran seperti Maudy Ayunda jg misalnya, belum tentu bisa nerapin itu di dunia sosial",https://www.threads.com/@kentangkejubakar/post/DdSRHlngR8d,kentangkejubakar
"Maudy Ayunda dikritik warganet kurang peka usai rilis konten mindfulness tentang bad news. Apa yang jadi persoalan dan disorot netizen dari konten Maudy? Baca selengkapnya di sini. 

(Prihatini Wahyuningtyas/Tirto.id)

#MultiFlash #MaudyAyunda #mindfulness #badnews",https://www.threads.com/@tirtoid/post/DdSRC7cAfT8,tirtoid
"Kita aja mungkin yg terlalu sensitif nanggepin Maudy Ayunda 

Ok siap! 
Maaf banget ya Kak, 
otak kami yg darurat literasi ini emang belum nyampe buat paham ilmu setinggi itu. 😭🙏

Kita emang kurang paham kalau konten edukasi itu sistemnya kayak outfit, 
kalau gak muat & gak relevan di badan kita yg lagi kelaparan, 

ya tinggal skip aja, 
simpel kan? 

Lagian netizen kok ya baperan banget, 
orang cuma bagi perspektif kok dibilang enggak empati.",https://www.threads.com/@fatur_daqu/post/DdSQ_r6Dk5r,fatur_daqu
"Maksud Mbak Maudy kan baik, kalau dunia lagi hancur, 
yg penting dunia kita sendiri tetep estetik & tenang.

Damai itu pilihan, 
Sis, 
makanya yuk tutup mata bareng2.",https://www.threads.com/@fatur_daqu/post/DdSRAzmDsha,fatur_daqu
"Kata aku teh, teteh2 yang jadi topik hangat pembicaraan seantero Indonesia ini musti baca buku “As Long As The Lemon Trees Grow”. ‘Menyadarkan diri’ tanpa menggurui, tanpa memaksa. Tapi amat melekat dan membekas di hati. 

Ketakutan yang lumrah, pelarian, dan penemuan diri dalam serah yang ikhlas jadi point menarik dari buku ini. Dan semua itu berkat tangan handal dari Zoulfa Katouh, sang penutur.",https://www.threads.com/@guyarssn_/post/DdSPkWCk5i3,guyarssn_
"Kagum banget sama Mbak
 @maudyayunda 

Selain pinter jalur akademis, ternyata pinter juga bikin orang se-Indonesia punya pemikiran & ketikan yg sama persis secara magis. 

Telepathy is real!

Indahnya kebersamaan. 
Melihat akun2  bersatu padu menggunakan satu hati, 
satu jiwa, & satu template teks yg sama demi membela sang idola. Terharu akutu. 

copy-paste,
amin.

Jam segini 

""kakak pembina"" 

pasti lagi pusing ngecekin link laporan.",https://www.threads.com/@fatur_daqu/post/DdSPjpBEtcX,fatur_daqu
"Kagum banget sama Mbak
 @maudyayunda 

Selain pinter jalur akademis, ternyata pinter juga bikin orang se-Indonesia punya pemikiran & ketikan yg sama persis secara magis. 

Telepathy is real!

Indahnya kebersamaan. 
Melihat akun2  bersatu padu menggunakan satu hati, 
satu jiwa, & satu template teks yg sama demi membela sang idola. Terharu akutu. 

copy-paste,
amin.

Jam segini 

""kakak pembina"" 

pasti lagi pusing ngecekin link laporan.",https://www.threads.com/@fatur_daqu/post/DdSPjpBEtcX,fatur_daqu
"Semangat ya Kak, 
demi sesuap nasi & demi nama baik Mbak Maudy yang harus tetap estetik & tanpa cela",https://www.threads.com/@fatur_daqu/post/DdSPjowEoXA,fatur_daqu
Ternyata seorang maudy ayunda pun pada akhirnya menggunakan buzzer. 😂,https://www.threads.com/@manisturkey/post/DdSPdrRE6qP,manisturkey
"Abis nonton YT maudy. Kayak nonton vicky prasetyo. Terlalu high pilihan verbs nya 😅 puyeng. Monmaap adek maudy ayunda, messagenya gak nyampe ke saya",https://www.threads.com/@re_tantri/post/DdSPZgMk2kn,re_tantri
"Ada kata-kata yang disebut dari Sayyidina Ali, isinya begini kira-kira: “Kalau kamu empati ketika melihat orang susah, berarti kamu orang baik. Kalau kamu terganggu pada orang susah, berarti kamu tak sedang baik-baik saja.”
@husein_hadar 🙏",https://www.threads.com/@ahn_yoona14/post/DdSPUjYk9F2,ahn_yoona14
"Thread tolong jangan munculkan lagi berita Maudy Ayunda di saya. Org yg komentar tentang Maudy Ayunda rata-rata pemarah, sumbu super pendek. Makasih🙏🤡",https://www.threads.com/@chaoticj0urnal/post/DdSPLsSkiT8,chaoticj0urnal
"Lulusan Oxford yg udh jelas2 pinter banget, krn ga sembarang orang yg bisa diterima di sana
Salah 1 kampus terbaik di dunia 
Top 3 selain Harvard & Cambridge aja masih pada berani julid loh
Yg julid juga, ga bakalan kuliah di salah satu top 3 kampus dunia yg kusebutin di atas.
Emang ga ada yg salah
Apalagi kita tau, dia ga pernah bikin skandal
Selalu tenar karna hal positif 
Netizen julid mau mencoba nyari celah kesalahan dia
Tapi sayangnya ga kena
Udah jelas banget, pada mau PANSOS sama Maudy",https://www.threads.com/@teddybearyayfluffy/post/DdRoCkZDxMa,teddybearyayfluffy
"perbandingan netizen julid vs Maudy Ayunda:
- si julid: miskin, 0 prestasi, 0 kekayaan, 0 kesuksesan 
-Yg dijulidin (Maudy Ayunda): tajir, sukses, prestasi udh pasti ada & banyak
Tapi org julid msh tdk menyadari perbedaan sejauh itu🤣
Komen negatif & kontra hadir bukan utk direspon & di ajak adu argumen, melainkan diblok. Org julid & kontra tdk berhak atas akses utk berkomentar dariku
Kemampuan finansial seseorang berpengaruh terhadap sikap, makanya org tajir tdk pernah sekomplek dgn org miskin",https://www.threads.com/@teddybearyayfluffy/post/DdSPDqNj5zP,teddybearyayfluffy
"temanya: mindfulness in the age of bad news by mbak maudy Ayunda.
krisis struktural mungkin cuma sebatas berita buruk di hp yang bisa diselesaikan lewat digital detox, namun kamu lupa ada batas yang sangat kontras antara sekedar berita buruk dan realita buruk, sebab masalahnya kita kadang bisa bicara nyaman sambil menyiapkan makanan sarapan tapi ada loh saudara kita yang tidak bisa, jika kamu terganggu dengan berita buruk, Mereka terganggu karena mengalami berita buruk.",https://www.threads.com/@_fadlyalfaris/post/DdSO_cgkkHa,_fadlyalfaris
"Selamat pagi
Maudy ayunda bisi kurang mindfulnes mending lari aja ya. Gausah ngajak² orang yg lagi berjuang tiba² disuruh sabar atas keadaan yang dibuat sama danzo dkk wkwkwkwkkw",https://www.threads.com/@arrizkita/post/DdSSNkqEtiL,arrizkita
"I saw a comment that says:

“Maybe for you it’s just bad news. For others, it’s their reality.”

And that hits me so hard.",https://www.threads.com/@queenchaidy/post/DdQ9bfmmkGh,queenchaidy
Maudy ayunda could never,https://www.threads.com/@amaliazhafarina/post/DdSSGFmEqnM,amaliazhafarina
